#options: 1280x720 fps=19/1 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0x111 me=hex subme=5 brdo=0 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 chroma_qp_offset=0 threads=1 nr=0 decimate=1 mbaff=0 bframes=0 keyint=250 keyint_min=25 scenecut=40 rc=abr bitrate=10000 ratetol=1.0 rceq='blurCplx^(1-qComp)' qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.40
in:168 out:168 type:P q:10.00 itex:1541 ptex:6319 mv:1252 misc:680 imb:30 pmb:133 smb:3437 d:-;
in:169 out:169 type:P q:10.00 itex:2360 ptex:6060 mv:1310 misc:662 imb:24 pmb:135 smb:3441 d:-;
in:170 out:170 type:P q:10.00 itex:1292 ptex:4985 mv:1078 misc:669 imb:20 pmb:133 smb:3447 d:-;
in:171 out:171 type:P q:10.00 itex:1712 ptex:6088 mv:1181 misc:659 imb:19 pmb:136 smb:3445 d:-;
in:172 out:172 type:P q:10.00 itex:4091 ptex:5049 mv:1268 misc:656 imb:25 pmb:132 smb:3443 d:-;
in:173 out:173 type:P q:10.00 itex:1360 ptex:4680 mv:1102 misc:666 imb:17 pmb:139 smb:3444 d:-;
in:174 out:174 type:P q:10.00 itex:2898 ptex:3841 mv:1316 misc:657 imb:26 pmb:122 smb:3452 d:-;
in:175 out:175 type:P q:10.00 itex:2480 ptex:3586 mv:1237 misc:649 imb:28 pmb:121 smb:3451 d:-;
in:176 out:176 type:P q:10.00 itex:2377 ptex:2595 mv:1103 misc:661 imb:25 pmb:120 smb:3455 d:-;
in:177 out:177 type:P q:10.00 itex:2148 ptex:2668 mv:1162 misc:678 imb:30 pmb:118 smb:3452 d:-;
in:178 out:178 type:P q:10.00 itex:2214 ptex:2247 mv:1059 misc:648 imb:22 pmb:117 smb:3461 d:-;
in:179 out:179 type:P q:10.00 itex:1738 ptex:2198 mv:1065 misc:639 imb:18 pmb:122 smb:3460 d:-;
in:180 out:180 type:P q:10.00 itex:2342 ptex:1703 mv:1064 misc:547 imb:28 pmb:66 smb:3506 d:-;
in:181 out:181 type:P q:10.00 itex:2640 ptex:1577 mv:1130 misc:501 imb:25 pmb:67 smb:3508 d:-;
in:182 out:182 type:P q:10.00 itex:3309 ptex:1626 mv:1009 misc:528 imb:20 pmb:74 smb:3506 d:-;
in:183 out:183 type:P q:10.00 itex:1943 ptex:1477 mv:1113 misc:563 imb:28 pmb:79 smb:3493 d:-;
in:184 out:184 type:P q:10.00 itex:2634 ptex:1090 mv:1192 misc:484 imb:27 pmb:51 smb:3522 d:-;
in:185 out:185 type:P q:10.00 itex:1814 ptex:1170 mv:827 misc:509 imb:14 pmb:68 smb:3518 d:-;
in:186 out:186 type:P q:10.00 itex:1841 ptex:1624 mv:1116 misc:523 imb:26 pmb:60 smb:3514 d:-;
in:187 out:187 type:P q:10.00 itex:2281 ptex:1109 mv:992 misc:506 imb:22 pmb:58 smb:3520 d:-;
in:188 out:188 type:P q:10.00 itex:1710 ptex:1186 mv:885 misc:523 imb:21 pmb:57 smb:3522 d:-;
in:189 out:189 type:P q:10.00 itex:1690 ptex:1439 mv:1109 misc:522 imb:23 pmb:58 smb:3519 d:-;
in:190 out:190 type:P q:10.00 itex:2286 ptex:989 mv:1006 misc:495 imb:24 pmb:50 smb:3526 d:-;
in:191 out:191 type:P q:10.00 itex:3156 ptex:3839 mv:1280 misc:533 imb:39 pmb:44 smb:3517 d:-;
in:192 out:192 type:P q:10.00 itex:1461 ptex:1236 mv:919 misc:560 imb:21 pmb:64 smb:3515 d:-;
in:193 out:193 type:P q:10.00 itex:1953 ptex:1257 mv:1045 misc:529 imb:28 pmb:51 smb:3521 d:-;
in:194 out:194 type:P q:10.00 itex:2334 ptex:782 mv:1021 misc:495 imb:30 pmb:43 smb:3527 d:-;
in:195 out:195 type:P q:10.00 itex:2001 ptex:822 mv:837 misc:508 imb:23 pmb:51 smb:3526 d:-;
in:196 out:196 type:P q:10.00 itex:1850 ptex:853 mv:878 misc:531 imb:30 pmb:46 smb:3524 d:-;
in:197 out:197 type:P q:10.00 itex:1890 ptex:625 mv:1000 misc:493 imb:29 pmb:44 smb:3527 d:-;
in:198 out:198 type:P q:10.00 itex:1799 ptex:540 mv:763 misc:498 imb:23 pmb:47 smb:3530 d:-;
in:199 out:199 type:P q:10.00 itex:2166 ptex:426 mv:646 misc:466 imb:30 pmb:26 smb:3544 d:-;
in:200 out:200 type:P q:10.00 itex:1403 ptex:600 mv:545 misc:468 imb:19 pmb:36 smb:3545 d:-;
in:201 out:201 type:P q:10.00 itex:8916 ptex:2656 mv:1259 misc:497 imb:32 pmb:38 smb:3530 d:-;
in:202 out:202 type:P q:10.00 itex:5401 ptex:2506 mv:1207 misc:542 imb:32 pmb:63 smb:3505 d:-;
in:203 out:203 type:P q:10.00 itex:3151 ptex:4243 mv:1079 misc:511 imb:28 pmb:57 smb:3515 d:-;
